,Symbol,Industry
723,VENUSPIPES,Capital Goods
724,VESUVIUS,Capital Goods
725,VIJAYA,Healthcare
726,VINATIORGA,Chemicals
727,IDEA,Telecommunication
728,VOLTAMP,Capital Goods
729,VOLTAS,Consumer Durables
730,WELCORP,Capital Goods
731,WELENT,Construction
732,WELSPUNLIV,Textiles
733,WSTCSTPAPR,Forest Materials
734,WESTLIFE,Consumer Services
735,WHIRLPOOL,Consumer Durables
736,WIPRO,Information Technology
737,WOCKPHARMA,Healthcare
738,WONDERLA,Consumer Services
739,YATHARTH,Healthcare
740,YESBANK,Financial Services
741,ZFCVINDIA,Automobile and Auto Components
742,ZEEL,Media Entertainment & Publication
743,ZENTEC,Capital Goods
744,ZENSARTECH,Information Technology
745,ZOMATO,Consumer Services
746,ZYDUSLIFE,Healthcare
747,ZYDUSWELL,Fast Moving Consumer Goods
748,ECLERX,Services
749,EMUDHRA,Information Technology
